X	Y	Z
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.884413 2.74031 -46.1415
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.883862 2.74033 -46.1418
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884145 2.73987 -46.1421
0.884437 2.74038 -46.1424
0.883885 2.7404 -46.1427
0.883885 2.7404 -46.1427
0.883885 2.7404 -46.1427
0.883885 2.7404 -46.1427
